number,promoter,non_promoter
0,1,0
1,1,0
2,1,0
3,0,1
4,0,1
5,1,0
6,0,1
7,1,0
8,0,1
9,1,0
10,1,0
11,1,0
12,1,0
13,0,1
14,1,0
15,0,1
16,1,0
17,0,1
18,1,0
19,0,1
20,0,1
21,0,1
22,0,1
23,1,0
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,1,0
30,1,0
31,0,1
32,1,0
33,0,1
34,0,1
35,1,0
36,0,1
37,1,0
38,0,1
39,0,1
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,0,1
49,0,1
50,1,0
51,0,1
52,0,1
53,1,0
54,1,0
55,0,1
56,0,1
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,0,1
64,1,0
65,1,0
66,0,1
67,1,0
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,0,1
76,0,1
77,0,1
78,1,0
79,0,1
80,0,1
81,0,1
82,0,1
83,1,0
84,1,0
85,0,1
86,0,1
87,1,0
88,0,1
89,1,0
90,0,1
91,0,1
92,0,1
93,1,0
94,0,1
95,1,0
96,0,1
97,0,1
98,1,0
99,1,0
100,0,1
101,1,0
102,0,1
103,0,1
104,0,1
105,0,1
106,1,0
107,0,1
108,0,1
109,1,0
110,1,0
111,0,1
112,0,1
113,1,0
114,0,1
115,0,1
116,1,0
117,0,1
118,0,1
119,0,1
120,1,0
121,1,0
122,1,0
123,1,0
124,0,1
125,1,0
126,0,1
127,1,0
128,1,0
129,0,1
130,1,0
131,1,0
132,1,0
133,1,0
134,0,1
135,1,0
136,1,0
137,0,1
138,0,1
139,1,0
140,1,0
141,1,0
142,0,1
143,1,0
144,0,1
145,1,0
146,0,1
147,0,1
148,1,0
149,0,1
150,1,0
151,1,0
152,0,1
153,1,0
154,1,0
155,0,1
156,1,0
157,0,1
158,1,0
159,0,1
160,0,1
161,1,0
162,1,0
163,0,1
164,0,1
165,1,0
166,1,0
167,0,1
168,0,1
169,0,1
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,0,1
178,0,1
179,1,0
180,1,0
181,1,0
182,0,1
183,0,1
184,0,1
185,0,1
186,1,0
187,1,0
188,1,0
189,1,0
190,0,1
191,1,0
192,0,1
193,0,1
194,0,1
195,0,1
196,1,0
197,0,1
198,1,0
199,1,0
200,0,1
201,0,1
202,1,0
203,0,1
204,1,0
205,0,1
206,0,1
207,0,1
208,1,0
209,1,0
210,1,0
211,0,1
212,0,1
213,0,1
214,0,1
215,0,1
216,1,0
217,0,1
